f0010:

W_Fdic:
the                 : 384     and                 : 162     of                  : 153     semantic            : 127     
suppose             : 1       partitioned         : 1       sameconf            : 1       sametopic           : 1       
adjusts             : 1       ir                  : 1       middle              : 1       sameproject         : 1       
sequentially        : 1       containing          : 1       suggest             : 1       make                : 1       
linked              : 1       parts               : 1       largest             : 1       events              : 1       
swrl                : 1       extended            : 1       ?exible             : 1       initialization      : 1       
usually             : 1       cr                  : 1       keep                : 1       relies              : 1       
sameyear            : 1       well                : 1       thought             : 1       re?ned              : 1       
without             : 1       components          : 1       construct           : 1       appendices          : 1       
sameconference      : 1       communities         : 1       intervals           : 1       predicts            : 1       
instance            : 1       similarities        : 1       help                : 1       except              : 1       
appeared            : 1       add                 : 1       combine             : 1       samples             : 1       
input               : 1       build               : 1       increased           : 1       grid                : 1       
know                : 1       background          : 1       intersection        : 1       name                : 1       
insert              : 1       like                : 1       success             : 1       systematically      : 1       
exploiting          : 1       reduces             : 1       c1y                 : 1       toccurs             : 1       
right               : 1       old                 : 1       creation            : 1       searching           : 1       
library             : 1       statistic           : 1       single-pass         : 1       overlay             : 1       
recorded            : 1       overlap             : 1       does                : 1       provides            : 1       
refer               : 1       considering         : 1       equivalent          : 1       expansion           : 1       
self-organization   : 1       samelanguage        : 1       hierarchically      : 1       about               : 1       
package             : 1       rule-on-attribute   : 1       meaning             : 1       carries             : 1       
laterthan           : 1       act                 : 1       shared              : 1       introduced          : 1       
software            : 1       owl                 : 1       orders              : 1       determine           : 1       
infer               : 1       utility             : 1       cocited             : 1       statistics          : 1       
part-of             : 1       approximate         : 1       citations           : 1       in?uenced           : 1       
is-a                : 1       relation-based      : 1       speci?ed            : 1       promote             : 1       
production          : 1       journal/conference  : 1       average             : 1       high-dimensional    : 1       
result              : 1       interval            : 1       computing           : 1       certain             : 1       
abstract            : 1       ins                 : 1       globally            : 1       formulation         : 1       
recalculated        : 1       c.                  : 1       mutual              : 1       no                  : 1       
generally           : 1       setting             : 1       compares            : 1       digital             : 1       
10                  : 1       elements            : 1       kinds               : 1       models              : 1       
sln-e               : 1       building            : 1       factors             : 1       depth               : 1       
implied             : 1       requires            : 1       co-occurrences      : 1       www.w3.org/submission/swrl/: 1       


WP_Fdic:
['the', 'DT']                      : 384     ['and', 'CC']                      : 160     ['of', 'IN']                       : 153     
['semantic', 'JJ']                 : 123     ['document', 'NN']                 : 94      ['documents', 'NNS']               : 91      
['links', 'NNS']                   : 85      ['to', 'TO']                       : 84      ['between', 'IN']                  : 72      
['-lrb-', '-LRB-']                 : 65      ['can', 'MD']                      : 63      ['-rrb-', '-RRB-']                 : 63      
['rules', 'NNS']                   : 61      ['be', 'VB']                       : 57      ['are', 'VBP']                     : 56      
['is', 'VBZ']                      : 50      ['cluster', 'NN']                  : 48      ['in', 'IN']                       : 44      
['clusters', 'NNS']                : 43      ['link', 'NN']                     : 43      ['as', 'IN']                       : 37      
['by', 'IN']                       : 37      ['keywords', 'NNS']                : 34      ['reasoning', 'NN']                : 28      
['on', 'IN']                       : 27      ['probability', 'NN']              : 25      ['sln', 'NNP']                     : 24      
['network', 'NN']                  : 24      ['for', 'IN']                      : 23      ['similarity', 'NN']               : 23      
['keyword', 'JJ']                  : 22      ['sln-d', 'NNP']                   : 21      ['two', 'CD']                      : 20      
['with', 'IN']                     : 19      ['-rsb-', 'NNS']                   : 19      ['according', 'VBG']               : 18      
['networks', 'NNS']                : 18      ['or', 'CC']                       : 16      ['new', 'JJ']                      : 16      
['an', 'DT']                       : 16      ['approach', 'NN']                 : 15      ['sets', 'NNS']                    : 15      
['if', 'IN']                       : 15      ['such', 'JJ']                     : 14      ['different', 'JJ']                : 14      
['resources', 'NNS']               : 14      ['classi?cation', 'NN']            : 13      ['model', 'NN']                    : 13      
['has', 'VBZ']                     : 13      ['d1', 'NNS']                      : 13      ['relations', 'NNS']               : 13      
['from', 'IN']                     : 12      ['among', 'IN']                    : 12      ['relational', 'JJ']               : 12      
['into', 'IN']                     : 12      ['each', 'DT']                     : 12      ['used', 'VBN']                    : 11      
['existing', 'VBG']                : 11      ['metadata', 'NN']                 : 11      ['may', 'MD']                      : 11      
['automatically', 'RB']            : 11      ['attributes', 'NNS']              : 10      ['co-occurrence', 'JJ']            : 10      
['it', 'PRP']                      : 10      ['consists', 'VBZ']                : 10      ['inference', 'JJ']                : 10      
['applications', 'NNS']            : 10      ['keyword', 'NN']                  : 9       ['c1', 'NNS']                      : 9       
['inference', 'NN']                : 9       ['values', 'NNS']                  : 9       ['time', 'NN']                     : 9       
['calculated', 'VBN']              : 9       ['src', 'NN']                      : 9       ['same', 'JJ']                     : 9       
['-lsb-', 'VBG']                   : 9       ['shows', 'VBZ']                   : 9       ['set', 'NN']                      : 9       
['probabilistic', 'JJ']            : 8       ['that', 'WDT']                    : 8       ['clustered', 'VBN']               : 8       
['equal', 'JJ']                    : 8       ['text', 'NN']                     : 8       ['document', 'NNP']                : 8       
['vectors', 'NNS']                 : 8       ['discovering', 'VBG']             : 8       ['any', 'DT']                      : 8       
['-lsb-', 'CD']                    : 8       ['this', 'DT']                     : 8       ['source', 'NN']                   : 7       
['will', 'MD']                     : 7       ['web', 'NN']                      : 7       ['discovered', 'VBN']              : 7       
['author', 'NN']                   : 7       ['inserted', 'VBN']                : 7       ['based', 'VBN']                   : 7       
['their', 'PRP$']                  : 7       ['derived', 'VBN']                 : 7       ['d2', 'NNS']                      : 7       
['association', 'NN']              : 7       ['d1', 'CD']                       : 7       ['using', 'VBG']                   : 7       
['then', 'RB']                     : 7       ['-lsb-', 'NNP']                   : 7       ['types', 'NNS']                   : 7       
['web', 'NNP']                     : 7       ['vector', 'NN']                   : 6       ['follows', 'VBZ']                 : 6       
['figure', 'NN']                   : 6       ['proposed', 'VBN']                : 6       ['clustering', 'NN']               : 6       
['contents', 'NNS']                : 6       ['one', 'CD']                      : 6       ['discover', 'VB']                 : 6       
['following', 'VBG']               : 6       ['nodes', 'NNS']                   : 6       ['query', 'JJ']                    : 6       
['when', 'WRB']                    : 6       ['was', 'VBD']                     : 6       ['change', 'NN']                   : 6       
['new', 'NNP']                     : 6       ['pages', 'NNS']                   : 6       ['out', 'RP']                      : 6       
['d2', 'CD']                       : 6       ['its', 'PRP$']                    : 6       ['weights', 'NNS']                 : 6       
['rule', 'NN']                     : 6       ['that', 'IN']                     : 6       ['following', 'JJ']                : 6       
['way', 'NN']                      : 6       ['associations', 'NNS']            : 6       ['target', 'NN']                   : 5       
['set', 'VBD']                     : 5       ['type', 'NN']                     : 5       ['more', 'RBR']                    : 5       
['analysis', 'NN']                 : 5       ['pair', 'NN']                     : 5       ['node', 'NN']                     : 5       
['co-occur', 'JJ']                 : 5       ['number', 'NN']                   : 5       ['them', 'PRP']                    : 5       
['at', 'IN']                       : 5       ['changes', 'NNS']                 : 5       ['subcluster', 'NN']               : 5       
['means', 'VBZ']                   : 5       ['some', 'DT']                     : 5       ['other', 'JJ']                    : 5       
['di', 'NNP']                      : 5       ['during', 'IN']                   : 5       ['whereas', 'IN']                  : 5       
['similar', 'JJ']                  : 5       ['evolution', 'NN']                : 5       ['belongs', 'VBZ']                 : 5       
['tgt', 'NN']                      : 5       ['needs', 'VBZ']                   : 5       ['initial', 'JJ']                  : 5       
['hierarchical', 'JJ']             : 5       ['not', 'RB']                      : 5       ['c1', 'NNP']                      : 5       
['represents', 'VBZ']              : 5       ['relevant', 'JJ']                 : 5       ['support', 'VB']                  : 4       
['ability', 'NN']                  : 4       ['path', 'NN']                     : 4       ['more', 'JJR']                    : 4       
['instanceof', 'NN']               : 4       ['calculation', 'NN']              : 4       ['characteristics', 'NNS']         : 4       
['measured', 'VBN']                : 4       ['word', 'NN']                     : 4       ['entities', 'NNS']                : 4       
['expand', 'VB']                   : 4       ['all', 'DT']                      : 4       ['exist', 'VBP']                   : 4       
['belong', 'VB']                   : 4       ['sameauthor', 'NN']               : 4       ['statistical', 'JJ']              : 4       
['algorithm', 'NN']                : 4       ['where', 'WRB']                   : 4       ['set', 'VBN']                     : 4       
['content', 'NN']                  : 4       ['page', 'NN']                     : 4       ['class', 'NN']                    : 4       
['occurs', 'VBZ']                  : 4       ['words', 'NNS']                   : 4       ['evolve', 'VB']                   : 4       
['inferred', 'VBN']                : 4       ['table', 'NNP']                   : 4       ['have', 'VBP']                    : 4       
['hence', 'RB']                    : 4       ['interference', 'NN']             : 3       ['semantic', 'NN']                 : 3       
['method', 'NN']                   : 3       ['rdf', 'NNP']                     : 3       ['di', 'FW']                       : 3       
['recommendation', 'NN']           : 3       ['only', 'RB']                     : 3       ['stage', 'NN']                    : 3       
['formula', 'NN']                  : 3       ['explained', 'VBN']               : 3       ['structure', 'NN']                : 3       
['predicting', 'VBG']              : 3       ['built', 'VBN']                   : 3       ['important', 'JJ']                : 3       
['form', 'NN']                     : 3       ['related', 'VBN']                 : 3       ['advantages', 'NNS']              : 3       
['sln', 'NN']                      : 3       ['comparing', 'VBG']               : 3       ['supports', 'VBZ']                : 3       
['denoted', 'VBN']                 : 3       ['discovery', 'NN']                : 3       ['there', 'EX']                    : 3       
['clustering', 'VBG']              : 3       ['local', 'JJ']                    : 3       ['which', 'WDT']                   : 3       
['space', 'NN']                    : 3       ['references', 'NNS']              : 3       ['techniques', 'NNS']              : 3       
['classify', 'VB']                 : 3       ['automatic', 'JJ']                : 3       ['t1', 'NNS']                      : 3       
['typical', 'JJ']                  : 3       ['global', 'JJ']                   : 3       ['lower-bounded', 'JJ']            : 3       
['regarded', 'VBN']                : 3       ['necessary', 'JJ']                : 3       ['that', 'DT']                     : 3       
['sln-d', 'NN']                    : 3       ['approaches', 'NNS']              : 3       ['c2', 'NNS']                      : 3       
['levels', 'NNS']                  : 3       ['c2', 'NNP']                      : 3       ['hyperlink', 'NN']                : 3       
['advanced', 'JJ']                 : 3       ['length', 'NN']                   : 3       ['general', 'JJ']                  : 3       
['link', 'VB']                     : 3       ['-rsb-', 'NN']                    : 3       ['mechanism', 'NN']                : 3       
['sub-networks', 'NNS']            : 3       ['c1', 'CD']                       : 3       ['keyword', 'VBD']                 : 3       
['technologies', 'NNS']            : 3       ['occur', 'JJ']                    : 3       ['upper-bounded', 'JJ']            : 3       
['connecting', 'JJ']               : 3       ['jaccard', 'NNP']                 : 3       ['attributes', 'VBZ']              : 2       
['form', 'VBP']                    : 2       ['level', 'NN']                    : 2       ['newly', 'RB']                    : 2       
['wvtool', 'NN']                   : 2       ['let', 'VB']                      : 2       ['lead', 'VB']                     : 2       
['15', 'CD']                       : 2       ['t1', 'NNP']                      : 2       ['higher', 'JJR']                  : 2       
['independent', 'JJ']              : 2       ['adopted', 'VBN']                 : 2       ['potential', 'JJ']                : 2       
['etc.', 'FW']                     : 2       ['adopted', 'JJ']                  : 2       ['co-occurrence', 'NN']            : 2       
['results', 'NNS']                 : 2       ['and', 'NNP']                     : 2       ['ar', 'NNP']                      : 2       
['machines', 'NNS']                : 2       ['acquired', 'VBN']                : 2       ['citation', 'NN']                 : 2       
['chosen', 'VBN']                  : 2       ['knowledge', 'NN']                : 2       ['samejournal', 'NN']              : 2       
['calculate', 'VB']                : 2       ['adding', 'VBG']                  : 2       ['were', 'VBD']                    : 2       
['even', 'RB']                     : 2       ['increase', 'NN']                 : 2       ['minimum', 'JJ']                  : 2       
['sim', 'NN']                      : 2       ['knowing', 'VBG']                 : 2       ['simple', 'JJ']                   : 2       
['several', 'JJ']                  : 2       ['besides', 'IN']                  : 2       ['relation', 'NN']                 : 2       
['relationship', 'NN']             : 2       ['update', 'NN']                   : 2       ['wide', 'NNP']                    : 2       
['structured', 'JJ']               : 2       ['information', 'NN']              : 2       ['reference', 'NN']                : 2       
['many', 'JJ']                     : 2       ['occurrence', 'NN']               : 2       ['14', 'CD']                       : 2       
['?nd', 'NN']                      : 2       ['partof', 'JJ']                   : 2       ['-lcb-', '-LRB-']                 : 2       
['ii', 'NNP']                      : 2       ['could', 'MD']                    : 2       ['basis', 'NN']                    : 2       
['classifying', 'VBG']             : 2       ['after', 'IN']                    : 2       ['derived', 'JJ']                  : 2       
['realizing', 'VBG']               : 2       ['these', 'DT']                    : 2       ['assigned', 'VBN']                : 2       
['classi?ed', 'VBN']               : 2       ['added', 'VBN']                   : 2       ['ontology', 'NN']                 : 2       
['keyword', 'VBN']                 : 2       ['graph', 'NN']                    : 2       ['n3', 'NNP']                      : 2       
['world', 'NNP']                   : 2       ['but', 'CC']                      : 2       ['institution', 'NN']              : 2       
['embedded', 'JJ']                 : 2       ['contains', 'VBZ']                : 2       ['iteratively', 'RB']              : 2       
['predict', 'VB']                  : 2       ['semantically', 'RB']             : 2       ['larger', 'JJR']                  : 2       
['represent', 'VB']                : 2       ['pr', 'NNP']                      : 2       ['whole', 'JJ']                    : 2       
['example', 'NN']                  : 2       ['merged', 'VBN']                  : 2       ['change', 'VBP']                  : 2       
['considers', 'VBZ']               : 2       ['useful', 'JJ']                   : 2       ['includes', 'VBZ']                : 2       
['d2', 'JJ']                       : 2       ['document', 'FW']                 : 2       ['specialized', 'VBN']             : 2       
['scienti?c', 'JJ']                : 2       ['loosely', 'VB']                  : 2       ['paths', 'NNS']                   : 2       
['extends', 'VBZ']                 : 2       ['change', 'VB']                   : 2       ['adapt', 'VB']                    : 2       
['queries', 'NNS']                 : 2       ['extracted', 'VBN']               : 2       ['cues', 'NNS']                    : 2       
['easy', 'JJ']                     : 2       ['d1', 'NNP']                      : 2       ['query', 'NN']                    : 2       
['assertion', 'NN']                : 2       ['calculates', 'VBZ']              : 2       ['-rcb-', '-RRB-']                 : 2       
['re?ect', 'VBP']                  : 2       ['classes', 'NNS']                 : 2       ['because', 'IN']                  : 2       
['large', 'JJ']                    : 2       ['they', 'PRP']                    : 2       ['?nd', 'VB']                      : 2       
['worldview', 'NN']                : 2       ['paper', 'NN']                    : 2       ['step', 'NN']                     : 2       
['carry', 'VB']                    : 2       ['k-nn', 'JJ']                     : 2       ['also', 'RB']                     : 2       
['hyperlinks', 'NNS']              : 2       ['d1', 'JJ']                       : 2       ['bayesian', 'NNP']                : 2       
['in?uence', 'VB']                 : 2       ['should', 'MD']                   : 2       ['weight', 'NN']                   : 2       
['tgt', 'RB']                      : 2       ['body', 'NN']                     : 2       ['imply', 'VBP']                   : 2       
['exists', 'VBZ']                  : 2       ['change', 'NNP']                  : 2       ['arrow', 'NN']                    : 2       
['c2x', 'NNS']                     : 2       ['respectively', 'RB']             : 2       ['n2', 'NNP']                      : 2       
['classi?cations', 'NNS']          : 2       ['users', 'NNS']                   : 2       ['language', 'NN']                 : 2       
['c1x', 'NNS']                     : 2       ['given', 'VBN']                   : 2       ['construction', 'NN']             : 2       
['li', 'NN']                       : 2       ['-rsb-', 'NNP']                   : 2       ['relations', 'NNP']               : 2       
['large-scale', 'JJ']              : 2       ['maximum', 'JJ']                  : 2       ['user', 'NN']                     : 2       
['n1', 'NNP']                      : 2       ['...', ':']                       : 2       ['iteration', 'NN']                : 2       
['kind', 'NN']                     : 2       ['links', 'VBZ']                   : 2       ['found', 'VBN']                   : 2       
['t2', 'NNP']                      : 2       ['process', 'NN']                  : 2       ['limited', 'JJ']                  : 2       
['si', 'NN']                       : 2       ['attribute', 'NNP']               : 2       ['cocited', 'VBD']                 : 1       
['connected', 'JJ']                : 1       ['via', 'IN']                      : 1       ['we', 'PRP']                      : 1       
['re?ects', 'VBZ']                 : 1       ['creation', 'NN']                 : 1       ['related', 'JJ']                  : 1       
['www.w3.org/rdf/', 'NNP']         : 1       ['separated', 'VBN']               : 1       ['difference', 'NN']               : 1       
['publishtime', 'NN']              : 1       ['little', 'JJ']                   : 1       ['simplicity', 'NN']               : 1       
['construct', 'VB']                : 1       ['evolving', 'VBG']                : 1       ['machine', 'NN']                  : 1       
['focuses', 'VBZ']                 : 1       ['relational', 'NNP']              : 1       ['certain', 'JJ']                  : 1       
['jaccard', 'NN']                  : 1       ['intractable', 'JJ']              : 1       ['statistics', 'NNS']              : 1       
['initiates', 'VBZ']               : 1       ['requires', 'VBZ']                : 1       ['maps', 'NNS']                    : 1       
['therefore', 'RB']                : 1       ['representation', 'NN']           : 1       ['documents', 'NNP']               : 1       
['contextual', 'JJ']               : 1       ['document', 'VB']                 : 1       ['thought', 'NN']                  : 1       
['second', 'JJ']                   : 1       ['?rst', 'NN']                     : 1       ['insertion', 'VBP']               : 1       
['old', 'JJ']                      : 1       ['link', 'VBP']                    : 1       ['extensible', 'VBP']              : 1       
['derive', 'VB']                   : 1       ['equipped', 'VBN']                : 1       ['graphs', 'NNS']                  : 1       
['threshold', 'NN']                : 1       ['graph', 'JJ']                    : 1       ['autonomous', 'VB']               : 1       
['semantics', 'NNP']               : 1       ['metadata', 'NNP']                : 1       ['citation', 'NNP']                : 1       
['sim_vec', 'JJ']                  : 1       ['refer', 'JJ']                    : 1       ['data', 'NN']                     : 1       
['pairs', 'NNS']                   : 1       ['coupled', 'VBN']                 : 1       ['keep', 'VBP']                    : 1       
['project', 'NN']                  : 1       ['intelligent', 'JJ']              : 1       ['neither', 'CC']                  : 1       
['joint', 'JJ']                    : 1       ['c2', 'CD']                       : 1       ['building', 'VBG']                : 1       
['www.w3.org/2004/owl/', 'NNP']    : 1       ['?nding', 'VBG']                  : 1       ['adjusts', 'VBZ']                 : 1       
['segment', 'NN']                  : 1       ['is-a', 'NNP']                    : 1       ['page', 'IN']                     : 1       
['similarity', 'NNP']              : 1       ['leads', 'VBZ']                   : 1       ['features', 'NNS']                : 1       
['including', 'VBG']               : 1       ['cycles', 'NNS']                  : 1       ['suitable', 'JJ']                 : 1       
['slns', 'NNS']                    : 1       ['domains', 'NNS']                 : 1       ['nature', 'NN']                   : 1       
['co-occur', 'NN']                 : 1       ['reduces', 'VBZ']                 : 1       ['does', 'VBZ']                    : 1       
['cluster', 'JJ']                  : 1       ['appeared', 'VBD']                : 1       ['considering', 'VBG']             : 1       
['?rst', 'JJ']                     : 1       ['-rsb-', 'CD']                    : 1       ['like', 'IN']                     : 1       
['would', 'MD']                    : 1       ['keyword', 'NNP']                 : 1       ['uncertain', 'JJ']                : 1       
['self-evolutionary', 'JJ']        : 1       ['comparison', 'NN']               : 1       ['equivalent', 'JJ']               : 1       
['intelligence', 'NN']             : 1       ['generated', 'VBN']               : 1       ['data', 'NNS']                    : 1       
